"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","entrance.type","pages","time","fraud"
"223",27,8,19,8,10,7,8,9,7,8,0,0,0,0,0,0,0,0,0,0,1,10,105.96,0
"225",27,8,9,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,66.429,0
"226",27,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3.892,0
"227",27,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4.973,0
"228",27,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.465,0
"229",27,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.784,0
"230",27,27,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.888,0
"231",27,16,27,8,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,48.273,0
"232",27,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.478,0
"233",27,16,8,10,8,19,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,35.962,0
"234",27,8,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,8.986,0
"235",27,8,27,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,16.604,0
"236",27,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2.921,0
"237",27,16,8,10,8,19,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,62.253,0
"238",27,16,8,19,8,10,8,19,8,0,0,0,0,0,0,0,0,0,0,0,0,9,45.668,0
"239",27,8,10,8,10,8,10,8,10,8,0,0,0,0,0,0,0,0,0,0,0,10,67.288,0
"240",27,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13.524,0
"242",27,16,8,10,8,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,39.677,0
"243",27,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14.883,0
"244",27,8,19,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,25.281,0
"245",27,8,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,60.056,0
"246",27,16,8,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,24.751,0
"247",27,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.087,0
"248",27,16,27,27,8,19,27,27,19,8,0,0,0,0,0,0,0,0,0,0,0,10,21.339,0
"249",27,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8.395,0
"250",27,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.859,0
"251",27,16,8,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,158.964,0
"252",27,16,8,10,8,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,254.846,0
